Label,instance weight,age,class of worker,detailed industry recode,detailed occupation recode,education,wage per hour,enroll in edu inst last wk,marital stat,major industry code,major occupation code,race,hispanic origin,sex,member of a labor union,reason for unemployment,full or part time employment stat,capital gains,capital losses,dividends from stocks,tax filer stat,region of previous residence,detailed household and family stat,detailed household summary in household,live in this house 1 year ago,num persons worked for employer,family members under 18,citizenship,own business or self employed,fill inc questionnaire for veteran's admin,veterans benefits,weeks worked in year,year,state of previous residence,country of birth father,country of birth mother,country of birth self,migration code-change in msa,migration code-change in reg,migration code-move within reg,migration prev res in sunbelt
Neg,2466.24,8, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,2021.27,32, Not in universe,0,0, High school graduate,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Other Rel 18+ never marr not in subfamily, Other relative of householder, Not in universe under 1 year old,0, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,95, Not in universe, NA, NA, NA, NA, NA, NA, NA
Neg,2441.22,51, Private,4,34, Some college but no degree,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, Do not know, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Yes,3, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,978.16,46, Private,37,31, High school graduate,0, Not in universe, Divorced, Business and repair services, Other service, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,1590,0, Single, Not in universe, Householder, Householder, Yes,6, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94, Not in universe, Columbia, Columbia, Columbia, Nonmover, Nonmover, Nonmover, Not in universe
Neg,2604.91,26, Private,24,12, Bachelors degree(BA AB BS),0, Not in universe, Never married, Manufacturing-nondurable goods, Professional specialty, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1520.08,13, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,404.9,47, Private,39,36, Bachelors degree(BA AB BS),0, Not in universe, Never married, Personal services except private HH, Machine operators assmblrs & inspctrs, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, Germany, United-States, United-States, NA, NA, NA, NA
Neg,1274.04,39, Not in universe,0,0, 10th grade,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,0, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94, Not in universe, Mexico, Mexico, Mexico, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1555.29,16, Not in universe,0,0, 10th grade,0, High school, Never married, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Native- Born in the United States,0, Not in universe,2,0,95, Not in universe, United-States, El-Salvador, United-States, NA, NA, NA, NA
Neg,1790.75,35, Private,12,41, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Handlers equip cleaners etc , White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,6000, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,4, Not in universe, Native- Born in the United States,0, Not in universe,2,49,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,455.02,12, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, South, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,94, Utah, United-States, United-States, United-States, MSA to MSA, Different region, Different state in South, Yes
Neg,1004.69,27, Self-employed-not incorporated,4,34, Some college but no degree,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Yes,6, Not in universe, Native- Born in the United States,1, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1500.08,56, Private,35,22, Some college but no degree,500, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, Native- Born in the United States,2, Not in universe,2,32,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,999.46,46, Private,45,12, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Other professional services, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1977,100, Joint both under 65, Not in universe, Householder, Householder, Yes,1, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1483.69,55, Not in universe,0,0, Some college but no degree,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, Japan, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1660.53,2, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,848.25,1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Northeast, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Mother only present, Native- Born in the United States,0, Not in universe,0,0,94, Michigan, NA, NA, United-States, MSA to MSA, Different county same state, Different county same state, No
Neg,2671.99,37, Private,3,34, Some college but no degree,0, Not in universe, Married-civilian spouse present, Mining, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Not in universe under 1 year old,3, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1188.42,4, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1331.35,37, Private,4,2, Bachelors degree(BA AB BS),0, Not in universe, Never married, Construction, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1669,700, Single, Not in universe, Secondary individual, Nonrelative of householder, Yes,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,711.15,63, Private,19,35, Less than 1st grade,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Precision production craft & repair, Other, Mexican (Mexicano), Male, Not in universe, Job loser - on layoff, Unemployed full-time,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,15,95, Not in universe, Mexico, Mexico, Mexico, NA, NA, NA, NA
Neg,1578.65,34, Federal government,29,25, Some college but no degree,0, Not in universe, Married-civilian spouse present, Transportation, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Unemployed part- time,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1629.02,46, Self-employed-not incorporated,4,34, Some college but no degree,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Yes,1, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1998.03,25, Private,45,23, High school graduate,0, Not in universe, Never married, Other professional services, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,1, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,463.55,81, Not in universe,0,0, Bachelors degree(BA AB BS),0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,991,0,0, Single, Not in universe, Nonfamily householder, Householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, NA, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,2492.74,46, Private,32,42, High school graduate,0, Not in universe, Separated, Wholesale trade, Handlers equip cleaners etc , White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Householder, Householder, Yes,3, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94, Not in universe, Peru, Peru, Peru, Nonmover, Nonmover, Nonmover, Not in universe
Neg,980.1,39, Private,34,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,1000, Joint both under 65, Not in universe, Householder, Householder, Yes,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1539.4,42, Federal government,48,8, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Public administration, Professional specialty, White, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,49, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,2621.94,2, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Grandchild <18 never marr not in subfamily, Other relative of householder, Not in universe under 1 year old,0, Neither parent present, Native- Born in the United States,0, Not in universe,0,0,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,498.25,11, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Mother only present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, Mexico, Mexico, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1773.08,30, Not in universe,0,0, High school graduate,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Midwest, Householder, Householder, No,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Minnesota, United-States, United-States, United-States, MSA to MSA, Same county, Same county, No
Neg,885.84,7, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Other Spanish, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, Dominican-Republic, Puerto-Rico, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,4183.26,66, Self-employed-not incorporated,33,19, 7th and 8th grade,0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both 65+, Not in universe, Spouse of householder, Spouse of householder, Yes,1, Not in universe, Native- Born in the United States,0, Not in universe,2,38,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1040.15,26, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Mexican-American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,0, Not in universe, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94, Not in universe, Mexico, Mexico, Mexico, Nonmover, Nonmover, Nonmover, Not in universe
Neg,3494.72,84, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both 65+, Not in universe, Spouse of householder, Spouse of householder, Not in universe under 1 year old,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1130.25,32, Private,33,29, High school graduate,0, Not in universe, Never married, Retail trade, Other service, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,59, Head of household, Not in universe, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1407.39,52, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,235.92,5, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, West, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Mother only present, Native- Born in the United States,0, Not in universe,0,0,94, Alaska, United-States, United-States, United-States, MSA to MSA, Same county, Same county, No
Neg,1669.47,35, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1212.48,66, Private,37,36, Some college but no degree,400, Not in universe, Married-civilian spouse present, Business and repair services, Machine operators assmblrs & inspctrs, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Joint both 65+, Not in universe, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,3745.71,47, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1812,36, Private,33,34, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Precision production craft & repair, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Midwest, Householder, Householder, No,3, Not in universe, Native- Born in the United States,0, Not in universe,2,48,94, Kansas, United-States, United-States, United-States, NonMSA to nonMSA, Same county, Same county, No
Neg,1027.68,37, Private,23,26, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, All other, Male, Not in universe, Not in universe, Full-time schedules,2829,0,0, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,2635.89,42, Private,44,10, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Social services, Professional specialty, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1293.12,42, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, Puerto Rican, Female, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Not in universe under 1 year old,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,95, Not in universe, NA, NA, United-States, NA, NA, NA, NA
Neg,1558.21,1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Grandchild <18 never marr child of subfamily RP, Other relative of householder, Yes,0, Mother only present, Native- Born in the United States,0, Not in universe,0,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1841.65,72, Not in universe,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,50, Joint both 65+, Not in universe, Spouse of householder, Spouse of householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Pos,949.12,42, Self-employed-incorporated,37,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Business and repair services, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,869.67,61, Private,36,27, High school graduate,0, Not in universe, Separated, Private household services, Private household services, Amer Indian Aleut or Eskimo, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Nonfamily householder, Householder, Not in universe under 1 year old,1, Not in universe, Native- Born in the United States,0, No,1,9,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1095.21,41, Private,12,35, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe, Spouse of householder, Spouse of householder, Yes,1, Not in universe, Native- Born in the United States,2, Not in universe,2,24,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,3666.39,90, Not in universe,0,0, 7th and 8th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Householder, Householder, Yes,0, Not in universe, Native- Born in the United States,0, Not in universe,2,0,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,1322.1,39, Private,32,16, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,3464,0,0, Joint both under 65, Not in universe, Householder, Householder, Yes,4, Not in universe, Native- Born in the United States,0, Not in universe,2,52,94, Not in universe, United-States, United-States, United-States, Nonmover, Nonmover, Nonmover, Not in universe
Neg,946.47,49, Self-employed-incorporated,24,2, Bachelors degree(BA AB BS),0, Not in universe, Divorced, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,1719,0, Single, Not in universe, Nonfamily householder, Householder, Not in universe under 1 year old,1, Not in universe, Native- Born in the United States,0, Not in universe,2,50,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,3504.66,25, Private,4,34, High school graduate,0, Not in universe, Married-spouse absent, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Child 18+ ever marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,2, Not in universe, Native- Born in the United States,0, Not in universe,2,10,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Pos,1274.84,47, Private,31,33, 12th grade no diploma,0, Not in universe, Married-civilian spouse present, Utilities and sanitary services, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Native- Born in the United States,0, Not in universe,2,52,95, Not in universe, United-States, United-States, United-States, NA, NA, NA, NA
Neg,1508.23,6, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Native- Born in the United States,0, Not in universe,0,0,95, Not in universe, South Korea, United-States, United-States, NA, NA, NA, NA
